AAAP,Advanced Accelerator Applications S.A.,38.51,1561012439,40535249,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap
AAL,"American Airlines Group, Inc.",46.77,23038379018,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal
AAME,Atlantic American Corporation,3.7,75533986.7,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aame
AAOI,"Applied Optoelectronics, Inc.",68.63,1303876114,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi
AAON,"AAON, Inc.",36.9,1940952214,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
AAPC,Atlantic Alliance Partnership Corp.,10.6099,39121173.41,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/aapc
AAPL,Apple Inc.,153.34,799490225600,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
AAWW,Atlas Air Worldwide Holdings,48.65,1229040036,n/a,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/aaww
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,66.48,3350592000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaxj
AAXN,"Axon Enterprise, Inc.",24.78,1306526937,n/a,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aaxn
ABAC,"Aoxin Tianli Group, Inc.",1.89,15089278.05,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/abac
ABAX,"ABAXIS, Inc.",48.68,1097247200,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABCB,Ameris Bancorp,45.25,1680778037,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
ABCD,"Cambium Learning Group, Inc.",4.99,230591218.4,n/a,n/a,Consumer Services,Publishing,http://www.nasdaq.com/symbol/abcd
ABCO,The Advisory Board Company,50.85,2063679111,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/abco
ABDC,Alcentra Capital Corp.,13.4,180056590.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc
ABEO,Abeona Therapeutics Inc.,5.9,237504983.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,3.48,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,0.6684,17215405.31,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/abil
ABIO,"ARCA biopharma, Inc.",2.4,22181474.4,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/abio
ABMD,"ABIOMED, Inc.",134.9,5891526281,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
ABTL,Autobytel Inc.,13,143930592,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/abtl
ABTX,"Allegiance Bancshares, Inc.",38.15,499727574.9,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx
ABUS,Arbutus Biopharma Corporation,3.65,200839633.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abus
ABY,Atlantica Yield plc,20.64,2068484246,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby
ACAD,ACADIA Pharmaceuticals Inc.,27.36,3339190653,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACBI,"Atlantic Capital Bancshares, Inc.",18.75,479602462.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acbi
ACCP,"Accelerated Pharma, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/accp
ACCPW,"Accelerated Pharma, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/accpw
ACET,Aceto Corporation,14.45,434955866.4,n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
ACFC,Atlantic Coast Financial Corporation,7.6,118208188.4,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/acfc
ACGL,Arch Capital Group Ltd.,95.06,11699006252,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/acgl
ACGLP,Arch Capital Group Ltd.,23.79,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/acglp
ACHC,"Acadia Healthcare Company, Inc.",42.64,3744555810,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACHN,"Achillion Pharmaceuticals, Inc.",4.14,566037066.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIA,"Acacia Communications, Inc.",48.61,1878379891,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
ACIU,AC Immune SA,8.96,510023288.3,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
ACIW,"ACI Worldwide, Inc.",23.15,2732681028,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACLS,"Axcelis Technologies, Inc.",21.9,659098633.2,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acls
ACNB,ACNB Corporation,28.6,173517601.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",15.15,706890303.9,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
ACRS,"Aclaris Therapeutics, Inc.",24.98,667802655.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
ACRX,"AcelRx Pharmaceuticals, Inc.",2.65,120258253.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
