Name, Symbol, Last price, Change
Exxon Mobil Corporation, XOM, 86.15, 0.89,
Gigamon Inc, GIMO, 59.45, 0.80,
United States Steel Corporation, X, 28.59, 0.02,
Visa Inc, V, 81.40, 0.60,
Mastercard Inc, MA, 105.31, 0.53,
Facebook Inc, FB, 120.53, 3.51,
Goldman Sachs Group Inc, GS, 209.86, -0.49,
Tesla Motors Inc, TSLA, 187.02, 2.00,
Microsoft Corporation, MSFT, 60.64, 0.29,
Amazon.com, Inc., AMZN, 774.69, 14.53,
Bank of America Corp, BAC, 20.11, 0.11,
ConocoPhillips, COP, 45.94, 1.18,
Apple Inc., AAPL, 111.50, 1.44,
Alphabet Inc, GOOG, 767.03, 6.49,
Alphabet Inc, GOOGL, 784.28, 8.31,
Paypal Holdings Inc, PYPL, 40.61, 0.53,
American Express Company, AXP, 71.14, 0.14,
JPMorgan Chase & Co., JPM, 77.92, 0.21,
MGM Resorts International, MGM, 29.10, 0.67,
Las Vegas Sands Corp., LVS, 61.82, 1.23,
CBOE Volatility Index, VIX, 12.82, -0.03,
Wells Fargo & Co, WFC, 52.16, -0.66,
Freeport-McMoRan Inc, FCX, 14.35, 0.62,
SPDR Gold Trust (ETF), GLD, 115.72, 0.57,
Netflix, Inc., NFLX, 117.61, 2.40,
Twitter Inc, TWTR, 18.72, -0.01,
